# fixture subset of tzdata zone.tab
JP	+353916+1394441	Asia/Tokyo
NO	+5955+01045	Europe/Oslo
US	+404251-0740023	America/New_York	Eastern (most areas)
US	+340308-1181434	America/Los_Angeles	Pacific
IN	+2232+08822	Asia/Kolkata
AU	-3352+15113	Australia/Sydney	New South Wales (most areas)
RE	-2052+05528	Indian/Reunion
AR	-3436-05827	America/Argentina/Buenos_Aires	Buenos Aires (BA, CF)
NZ	-3652+17446	Pacific/Auckland	New Zealand (most areas)
NZ	-4357-17633	Pacific/Chatham	Chatham Islands
NP	+2743+08519	Asia/Kathmandu
BE	+5050+00420	Europe/Brussels
FR	+4852+00220	Europe/Paris
GE	+4143+04449	Asia/Tbilisi
GS	-5416-03632	Atlantic/South_Georgia
US	+394606-0860929	America/Indiana/Indianapolis
PA	+0858-07932	America/Panama
SR	+0550-05510	America/Paramaribo
UA	+5026+03031	Europe/Kyiv
